Type,Section Length (m),Corner Radius (m)
Right,2,16.096
Right,1,17.026
Right,1,20.953
Right,2,22.993
Right,2,19.566
Right,1,21.182
Right,2,24.655
Right,1,29.611
Right,2,34.345
Right,2,58.485
Right,2,328.605
Right,1,130.083
Right,2,151.599
Right,2,226.575
Straight,2,0
Right,1,254.154
Right,2,102.178
Right,2,85.186
Right,2,88.746
Right,1,127.758
Right,2,238.11
Left,1,523.416
Left,2,520.595
Left,1,92.278
Left,1,32.648
Left,1,29.834
Left,1,23.511
Left,1,20.778
Left,1,13.467
Left,1,11.215
Left,1,10.074
Left,2,8.981
Left,1,8.831
Left,1,8.315
Left,1,8.158
Left,1,7.336
Left,1,7.507
Left,1,7.164
Left,1,7.04
Left,1,9.041
Left,1,11.953
Left,1,22.669
Left,1,17.161
Left,1,19.534
Left,2,31.237
Left,1,36.443
Left,1,30.777
Left,2,31.633
Left,1,31.228
Left,2,33.065
Left,1,44.675
Left,2,44.728
Left,1,39.052
Left,2,38.891
Left,2,43.344
Left,1,50.875
Left,2,44.445
Left,2,39.633
Left,2,32.308
Left,1,41.378
Left,2,26.877
Left,1,22.721
Left,2,22.962
Left,2,35.477
Left,1,26.388
Left,2,24.707
Left,1,22.978
Left,2,23.788
Left,1,21.433
Left,2,18.88
Left,2,21.658
Left,1,25.76
Left,2,51.243
Left,2,96.628
Left,1,133.482
Left,2,235.163
Right,2,1534.436
Left,1,515.271
Left,2,158.407
Left,1,117.842
Left,2,83.538
Left,1,92.965
Right,1,58.915
Right,2,26.3
Right,1,17.185
Right,1,13.098
Right,1,11.583
Right,2,13.49
Right,1,12.772
Right,1,12.425
Right,2,14.816
Right,1,20.103
Right,2,87.244
Left,1,140.53
Left,1,22.372
Left,2,13.74
Left,1,13.287
Left,1,12.695
Left,2,12.153
Left,1,13.602
Left,1,18.417
Left,2,91.519
Right,1,57.933
Right,2,22.065
Right,1,14.634
Right,2,14.163
Right,1,14.548
Right,1,14.165
Right,2,14.42
Right,1,12.806
Right,2,15.868
Right,1,18.858
Right,1,28.341
Left,2,167.558
Left,1,34.58
Left,2,24.441
Left,1,20.291
Left,2,20.602
Left,1,20.491
Left,2,20.109
Left,2,22.64
Left,1,23.429
Left,2,44.611
Left,2,65.879
Left,1,93.208
Left,2,980.874
Straight,2,0
Right,2,1060.053
Straight,1,0
